message,label
"You’ve been pre-approved for a $10,000 loan! Click here to claim it now!",spam
"Limited time offer: Get a free trial of our premium service – Act now!",spam
"Congratulations, you've won an exclusive gift! Click the link to claim your prize.",spam
"Hurry! Only a few hours left to get 60% off your entire order!",spam
"Free gift card giveaway – Claim your $100 Amazon gift card by completing this survey!",spam
"Hi [Name], I've attached the latest version of the report for your review. Let me know if you have any feedback.",ham
"Reminder: Our team meeting is scheduled for 10 AM tomorrow. Looking forward to your participation.",ham
"Please find attached the updated project timeline for your review. Let me know if you have any questions.",ham
"It was great speaking with you today. As discussed, here is the draft proposal for your review.",ham
"Just wanted to confirm the meeting for 3 PM today. Let me know if that time still works for you.",ham
"Process 1, Arrival Time: 0, Burst Time: 5, Waiting Time: 7, Turnaround Time: 12, Average Waiting Time: 4.25, Average Turnaround Time: 7.25",ham